Year,return
2025,-0.031191720494119224
2026,-0.014960088330298382
2027,0.0495345553437798
2028,-0.08435274179538563
2029,0.09608554356262197
2030,-0.04852539518235349
2031,0.09105028669013278
2032,0.04537153217391977
2033,-0.016373921306800557
2034,0.07371308624102943
2035,0.13306002773817643
2036,0.3523152275436352
2037,0.2495601783100813
2038,0.11490745635170588
2039,-0.0024219014067127648
2040,0.23518308751763028
2041,0.16426052629976676
2042,0.1137690387984383
2043,0.24047458492771157
2044,0.04902756237557221
2045,0.09519159313493289
2046,0.13827094492730033
2047,0.2354145304681842
2048,0.2024915032344788
2049,-0.04316418794095325
2050,-0.16003461370335895
2051,0.14215090169223776
2052,0.053780282413637394
2053,-0.026947823285981692
2054,0.021661917873127698
2055,0.11732424993912223
2056,0.18733652896455655
2057,0.19657754658480894
2058,0.24894748863352212
2059,-0.03374267497973926
2060,-0.0526348595548885
2061,0.24720010317625574
2062,0.021312721018608538
2063,-0.008617344775293523
2064,0.24773271098512492
2065,0.07832641643466609
2066,0.22168294622799595
2067,0.09502488547185814
2068,0.1839172303885373
2069,-0.40906054411647874
2070,0.14914019848031665
2071,0.06666902085745376
2072,-0.3109097960142805
2073,0.05121406941317513
2074,-0.013255479226128991
